,p,r,f,s
movie.language,0.7868852459016393,0.6956521739130435,0.7384615384615385,69
country.name,0.6349206349206349,0.6451612903225806,0.64,62
award.ceremony,0.5714285714285714,0.5714285714285714,0.5714285714285714,7
movie.release_region,1.0,0.0,0.0,4
actor.type,1.0,1.0,1.0,2
movie.type,1.0,0.0,0.0,4
movie.gross_revenue,0.5555555555555556,1.0,0.7142857142857143,5
movie.name,0.8236658932714617,0.7505285412262156,0.7853982300884955,473
rating.name,0.9047619047619048,0.9344262295081968,0.9193548387096775,61
actor.nationality,1.0,1.0,1.0,1
movie.star_rating,1.0,0.0,0.0,1
movie.location,0.0,0.0,0.0,7
movie.release_date,0.76,0.6551724137931034,0.7037037037037037,29
director.name,0.3836477987421384,0.7530864197530864,0.5083333333333334,81
movie.genre,0.9629629629629629,0.7222222222222222,0.8253968253968254,36
movie.subject,0.7073170731707317,0.6590909090909091,0.6823529411764706,44
character.name,0.14285714285714285,0.3333333333333333,0.2,15
award.category,1.0,0.0,0.0,2
actor.name,0.7872340425531915,0.4625,0.5826771653543308,80
person.name,0.4583333333333333,0.3235294117647059,0.3793103448275862,34
producer.name,0.1791044776119403,0.6575342465753424,0.28152492668621704,73
director.nationality,1.0,0.0,0.0,1
total,0.591304347826087,0.6856095325389551,0.634974533106961,1091
