,p,r,f,s
return_date.day_name,1.0,0.0,0.0,2
meal_description,1.0,0.9,0.9473684210526316,10
depart_date.today_relative,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
stoploc.city_name,0.3548387096774194,0.55,0.43137254901960786,20
flight_days,1.0,1.0,1.0,10
flight_stop,1.0,1.0,1.0,21
arrive_time.end_time,0.5,0.25,0.3333333333333333,8
toloc.country_name,1.0,1.0,1.0,1
fromloc.airport_code,0.8333333333333334,1.0,0.9090909090909091,5
aircraft_code,0.8181818181818182,0.8181818181818182,0.8181818181818182,33
days_code,1.0,1.0,1.0,1
meal_code,0.0,0.0,0.0,1
state_code,0.3333333333333333,1.0,0.5,1
depart_date.day_name,0.9554455445544554,0.910377358490566,0.932367149758454,212
arrive_time.time_relative,0.5333333333333333,0.7741935483870968,0.631578947368421,31
day_name,1.0,0.0,0.0,2
arrive_date.today_relative,0.0,0.0,0.0,0
depart_time.time_relative,0.8775510204081632,0.6615384615384615,0.7543859649122807,65
fromloc.city_name,0.9418282548476454,0.9659090909090909,0.9537166900420757,704
transport_type,0.9,0.9,0.9,10
economy,1.0,1.0,1.0,6
fare_basis_code,0.9166666666666666,0.6470588235294118,0.7586206896551724,17
depart_date.date_relative,0.8235294117647058,0.8235294117647058,0.8235294117647058,17
booking_class,1.0,0.0,0.0,1
cost_relative,1.0,0.972972972972973,0.9863013698630138,37
return_date.date_relative,0.5,0.3333333333333333,0.4,3
compartment,1.0,0.0,0.0,1
depart_date.year,1.0,1.0,1.0,3
depart_date.month_name,0.9259259259259259,0.8928571428571429,0.9090909090909091,56
arrive_date.day_name,0.21739130434782608,0.45454545454545453,0.29411764705882354,11
toloc.city_name,0.9286694101508917,0.9455307262569832,0.9370242214532872,716
depart_time.period_of_day,0.9193548387096774,0.8769230769230769,0.8976377952755904,130
fromloc.airport_name,0.4375,0.5833333333333334,0.5,12
flight,1.0,0.0,0.0,1
arrive_date.month_name,0.25,0.3333333333333333,0.28571428571428575,6
airline_code,0.9333333333333333,0.8235294117647058,0.8749999999999999,34
toloc.state_code,0.9444444444444444,0.9444444444444444,0.9444444444444444,18
stoploc.airport_code,1.0,0.0,0.0,1
meal,1.0,1.0,1.0,16
period_of_day,1.0,0.0,0.0,4
toloc.airport_name,0.25,0.3333333333333333,0.28571428571428575,3
fromloc.state_code,1.0,0.9130434782608695,0.9545454545454545,23
depart_time.period_mod,0.7142857142857143,1.0,0.8333333333333333,5
airline_name,0.9705882352941176,0.9801980198019802,0.9753694581280787,101
airport_name,0.8333333333333334,0.23809523809523808,0.37037037037037035,21
depart_time.time,0.6129032258064516,0.6666666666666666,0.6386554621848739,57
mod,1.0,0.0,0.0,2
round_trip,1.0,0.9726027397260274,0.9861111111111112,73
city_name,0.5,0.2631578947368421,0.3448275862068966,57
toloc.airport_code,1.0,0.25,0.4,4
arrive_date.day_number,0.25,0.3333333333333333,0.28571428571428575,6
flight_number,0.75,0.5454545454545454,0.631578947368421,11
flight_time,1.0,1.0,1.0,1
arrive_time.period_of_day,0.0,0.0,0.0,6
class_type,0.9230769230769231,1.0,0.9600000000000001,24
or,0.5,0.6666666666666666,0.5714285714285715,3
arrive_time.time,0.4339622641509434,0.6764705882352942,0.5287356321839081,34
fromloc.state_name,0.8571428571428571,0.7058823529411765,0.7741935483870968,17
flight_mod,0.6956521739130435,0.6666666666666666,0.6808510638297872,24
depart_time.end_time,1.0,0.0,0.0,3
depart_time.start_time,1.0,0.0,0.0,3
toloc.state_name,0.6285714285714286,0.7857142857142857,0.6984126984126985,28
state_name,1.0,0.0,0.0,9
restriction_code,1.0,0.75,0.8571428571428571,4
airport_code,0.8333333333333334,0.5555555555555556,0.6666666666666667,9
fare_amount,1.0,1.0,1.0,2
arrive_date.date_relative,0.0,0.0,0.0,2
arrive_time.start_time,0.05714285714285714,0.25,0.09302325581395347,8
depart_date.day_number,0.8888888888888888,0.8727272727272727,0.8807339449541284,55
connect,1.0,0.8333333333333334,0.9090909090909091,6
total,0.8662442801830341,0.8674656327106098,0.8668545262416343,2837
