,p,r,f,s
movie.language,0.7777777777777778,0.7101449275362319,0.7424242424242424,69
movie.genre,0.9629629629629629,0.7222222222222222,0.8253968253968254,36
movie.type,1.0,0.0,0.0,4
award.category,1.0,0.0,0.0,2
producer.name,0.18181818181818182,0.6575342465753424,0.2848664688427299,73
director.name,0.36645962732919257,0.7283950617283951,0.48760330578512395,81
actor.name,0.8113207547169812,0.5375,0.6466165413533834,80
movie.star_rating,1.0,0.0,0.0,1
award.ceremony,0.5714285714285714,0.5714285714285714,0.5714285714285714,7
movie.release_region,1.0,0.0,0.0,4
rating.name,0.9193548387096774,0.9344262295081968,0.9268292682926829,61
director.nationality,1.0,0.0,0.0,1
movie.gross_revenue,0.5555555555555556,1.0,0.7142857142857143,5
actor.type,1.0,1.0,1.0,2
character.name,0.25,0.3333333333333333,0.28571428571428575,15
movie.release_date,0.76,0.6551724137931034,0.7037037037037037,29
person.name,0.5789473684210527,0.3235294117647059,0.4150943396226416,34
movie.subject,0.717948717948718,0.6363636363636364,0.674698795180723,44
movie.name,0.8329466357308585,0.758985200845666,0.7942477876106194,473
actor.nationality,1.0,1.0,1.0,1
movie.location,0.0,0.0,0.0,7
country.name,0.6721311475409836,0.6612903225806451,0.6666666666666666,62
total,0.6075441412520064,0.693858845096242,0.6478391099700471,1091
