,p,r,f,s
producer.name,0.7627118644067796,0.6164383561643836,0.6818181818181819,73
movie.release_date,0.6923076923076923,0.6206896551724138,0.6545454545454545,29
actor.type,1.0,1.0,1.0,2
country.name,0.6142857142857143,0.6935483870967742,0.6515151515151515,62
movie.star_rating,1.0,0.0,0.0,1
person.name,0.5,0.6470588235294118,0.5641025641025642,34
movie.location,0.0,0.0,0.0,7
movie.subject,0.6976744186046512,0.6818181818181818,0.6896551724137931,44
movie.genre,0.9259259259259259,0.6944444444444444,0.7936507936507936,36
movie.type,1.0,0.0,0.0,4
movie.gross_revenue,0.5,1.0,0.6666666666666666,5
award.ceremony,0.42857142857142855,0.42857142857142855,0.42857142857142855,7
movie.name,0.7603143418467584,0.8181818181818182,0.7881873727087577,473
character.name,0.46153846153846156,0.4,0.42857142857142855,15
actor.nationality,1.0,1.0,1.0,1
rating.name,0.9032258064516129,0.9180327868852459,0.9105691056910569,61
director.nationality,1.0,0.0,0.0,1
movie.language,0.8333333333333334,0.6521739130434783,0.7317073170731708,69
movie.release_region,0.0,0.0,0.0,4
actor.name,0.7294117647058823,0.775,0.7515151515151516,80
director.name,0.5774647887323944,0.5061728395061729,0.5394736842105263,81
award.category,1.0,0.0,0.0,2
total,0.7276908923643054,0.7250229147571036,0.7263544536271809,1091
